,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/9,/intelcpu/0/load/10,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space","Used Space"
09/30/2024 13:56:52,2.34375,1.5625,0,0,0,0,0,0,34.375,1.5625,2.734375,68.84845,16.3116379,7.380455,58,210.000015,405.000031,0,0,20,0,0,6144,328.4414,5815.55859,5.345726,3.70000029,0.0009765625,0,89.36812,86.55914
09/30/2024 13:56:53,0,3.90625,0,0,0,0,6.25,21.875,81.25,40.625,9.863281,68.89184,16.3219185,7.37017441,58,210.000015,405.000031,0,0,14,0,0,6144,328.4414,5815.55859,5.345726,3.69700027,0.0009765625,0,89.36815,86.55914
09/30/2024 13:56:54,0,5.46875,0,0,0,0.78125,25,31.7460289,54.6875,31.25,9.698969,68.88757,16.3209076,7.3711853,58,210.000015,405.000031,0,0,26,0,0,6144,328.4414,5815.55859,5.345726,3.82900023,0.0009765625,0,89.36815,86.55914
09/30/2024 13:56:55,0,0,0,0,0,0,9.375,52.30769,60.9375,56.25,11.179388,68.86877,16.316452,7.375641,58,210.000015,405.000031,0,0,32,0,0,6144,328.4414,5815.55859,5.345726,3.81900024,0,0,89.36815,86.55914
09/30/2024 13:56:56,0,0,0,0,0,0,6.25,4.6875,1.5625,18.75,1.953125,68.7980957,16.29971,7.39238358,58,210.000015,405.000031,0,0,35,0,0,6144,328.4414,5815.55859,5.345726,3.693,0,0,89.36815,86.55914
09/30/2024 13:56:57,0,0,0,0,0,0,18.75,41.26984,73.01587,52.3809547,11.5885439,68.804245,16.3011665,7.39092636,58,210.000015,405.000031,0,0,49,0,0,6144,328.4414,5815.55859,5.345726,3.69500017,0,0,89.36815,86.55914
09/30/2024 15:34:34,0,0,0,0,0,0,0,0,0,0,0,72.4946,17.1754875,6.51660538,59,232.000015,405.000031,0,43,36,0,2,6144,300.9414,5843.05859,4.89813471,4.73100042,0.001953125,0.052734375,89.76897,86.55914
09/30/2024 15:34:35,5.46875,1.5625,0,0,0,0,1.5625,23.4375,18.75,17.4603157,4.70455265,72.00952,17.0605621,6.631531,58,255.000015,405.000031,0,0,25,0,0,6144,308.4414,5835.55859,5.020205,4.4090004,0.0078125,0.0009765625,89.76897,86.55914
09/30/2024 15:34:37,16.9230766,2.30768919,2.30768919,3.8461566,2.30768919,0,82.8125,80,82.8125,81.8181839,23.92674,70.56484,16.7182884,6.97380447,59,270,405.000031,0,0,8,0,0,6144,293.4414,5850.55859,4.7760644,4.375,0.015625,0,89.76897,86.55914
09/30/2024 15:34:38,3.8461566,0,0,0,0,0,100,100,100,100,25.48077,70.16707,16.6240463,7.06804657,59,270,405.000031,0,0,20,0,0,6144,293.4414,5850.55859,4.7760644,3.93100023,0.015625,0,89.76897,86.55914
